Ord,Blk,Plot,Col,Row,Clone,1DBH15,2DBH15,3DBH15,Plus Tree 15,Root collar Weevil 15,Notes 2015,1DBH14,2DBH14,3DBH14,1HT14,2HT14,3HT14,RCW14,Stems14,Status14,1DBH13,2DBH13,3DBH13,1HT13,2HT13,3HT13,1DBH12,2DBH12,3DBH12,1HT12,1HT11,1HT10
110,1,49,13,2,69,3.9,,,1,2,,3.4,,,27,,,0,1,1,2.3,,,19.5,,,1.2,,,12.5,6.7,2.6
111,2,50,13,3,75,4.2,3.9,,0,2,"4.1/4.4, 3.8/4.1",3.6,3.3,,28,26,,0,2,1,2.9,2.2,,22,20,,1.6,1.1,,15,8.2,4.2
112,2,50,13,4,75,3.7,3.2,,0,4,,3.2,3.01,,28,28,,0,2,1,2.1,1.9,,21,19,,1.1,0.9,,12.8,5.4,1.8
113,3,51,13,5,72,3.4,2.5,,0,4,3.2/3.7,3,2.4,,29.5,29,,0,2,1,2.2,1.9,,23,22,,1.2,,,15,6.5,3.3
114,3,51,13,6,72,3.4,,,0,1,3.3/3.5,2.9,,,28,,,0,1,1,1.9,,,22,,,1,,,12.5,6.7,2.9
115,4,52,13,7,62,3.4,,,0,4,,3,,,28,,,0,1,1,1.8,,,21,,,1.2,,,13.9,6.5,2.2
116,4,52,13,8,62,3.7,,,0,3,3.6/3.8,3.1,,,30,,,0,1,1,2.5,,,23.5,,,1.5,,,15.5,7.6,2.2
117,3,63,13,9,NM6,4.7,,,0,3,4.5/4.8 Stem Canker @ 10',4,,,25,,,0,1,1,2.5,,,18,,,1.5,,,13.3,9.2,5.0
118,1,56,14,1,71,3.5,,,0,1,,2.9,,,22,,,0,1,1,2.2,,,18,,,1.3,,,14,7.8,3.6
119,1,56,14,2,71,2.8,,,0,1,,2.4,,,21,,,0,1,1,1.8,,,17,,,1,,,11.8,6.8,2.2
120,2,55,14,3,66,,,,0,,Died 2015,1.7,,,14,,,0,1,1,1.6,,,15,,,0.9,,,10.6,5.0,2.3
121,2,55,14,4,66,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
122,3,54,14,5,62,4.6,,,0,3,4.5/4.7,3.7,,,30,,,0,1,1,2.4,,,21,,,1.2,,,14,5.2,1.7
123,3,54,14,6,62,4.6,,,0,3,4.5/4.8,4,,,33,,,0,1,1,2.6,,,23,,,1.5,,,15,6.5,2.0
124,4,53,14,7,66,5.9,4.8,,1,4,"5.4/6.4, 4.7/4.9, recovering from severe RCW",5,3.9,,33,33,,0,2,1,3.5,2.5,,24.5,23.5,,2.2,1.4,,16.5,8.3,4.3
125,4,53,14,8,66,6.0,,,1,4,5.9/6.1 recovering from severe RCW,5.1,,,32,,,0,1,1,3.5,,,24.5,,,2.2,,,15.6,8.6,4.0
126,4,64,14,9,NM6,4.6,,,0,2,4.4/4.8,3.5,,,24,,,0,1,1,2.7,,,19,,,1.2,,,13.5,8.9,4.5
127,1,57,15,1,62,,,,0,,,,,,,,,0,0,0,1.5,,,12,,,1,,,11.2,6.0,1.9
128,1,57,15,2,62,,,,0,,,,,,,,,0,0,0,,,,,,,0.1,,,4.8,2.7,1.5
129,2,58,15,3,67,4.6,4.6,,0,4,,3.8,3.6,,31,30,,0,2,1,2.5,2.5,,22.5,22.5,,1.5,1.4,,14.5,8.0,2.7
130,2,58,15,4,67,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
131,3,59,15,5,67,3.1,,,0,4,,2.8,,,23,,,0,1,1,2.2,,,20.5,,,1.3,,,14.6,7.2,2.5
132,3,59,15,6,67,2.8,,,0,4,2.7/2.9,2.3,,,24.5,,,0,1,1,1.7,,,18,,,1.2,,,13.5,8.6,2.7
133,4,60,15,7,65,3.3,,,0,3,3.1/3.6,2.7,,,26,,,0,1,1,1.7,,,18.5,,,1,,,12,7.6,3.3
134,4,60,15,8,65,3.6,,,0,1,3.3/3.9,2.9,,,24,,,0,1,1,1.8,,,17,,,1.1,,,12,8.3,3.1
135,4,64,15,9,NM6,3.2,,,0,1,3.0/3.3,2.6,,,20,,,0,1,1,1.6,,,14,,,0.7,,,10.3,8.2,4.0
